key,key:user-account,company,sector
provider-1,user-account-administrator-1,Barnes-Newton,drive efficient technologies
provider-2,user-account-provider-1,Bowman-Hall,mesh bricks-and-clicks networks
provider-3,user-account-provider-2,Jones-Foster,reinvent bricks-and-clicks schemas
provider-4,user-account-provider-3,"Hayes, Hardy and Carter",implement visionary web services
provider-5,user-account-provider-4,Rush-Combs,matrix virtual synergies
provider-6,user-account-provider-5,Mcintyre Ltd,productize B2C users
provider-7,user-account-provider-6,Johnson-Ortega,productize seamless web-readiness
provider-8,user-account-provider-7,Bryan LLC,synthesize e-business markets
provider-9,user-account-provider-8,"Lawson, Estrada and Burke",disintermediate sticky models
provider-10,user-account-provider-9,Barrett-Davis,aggregate holistic functionalities
provider-11,user-account-provider-10,Castillo-Marquez,integrate wireless e-commerce
