key,key:toolkit,key:item,item-quantity
quantity-1,toolkit-10,item-5,17
quantity-2,toolkit-5,item-4,15
quantity-3,toolkit-6,item-8,2
quantity-4,toolkit-10,item-9,4
quantity-5,toolkit-9,item-4,11
quantity-6,toolkit-6,item-8,22
quantity-7,toolkit-10,item-4,8
quantity-8,toolkit-7,item-1,1
quantity-9,toolkit-1,item-10,1
quantity-10,toolkit-7,item-3,10
quantity-11,toolkit-3,item-3,15
quantity-12,toolkit-10,item-3,12
quantity-13,toolkit-2,item-2,8
quantity-14,toolkit-7,item-5,24
quantity-15,toolkit-2,item-3,19
quantity-16,toolkit-2,item-3,8
quantity-17,toolkit-2,item-4,13
quantity-18,toolkit-3,item-7,7
quantity-19,toolkit-10,item-7,13
quantity-20,toolkit-1,item-6,23
quantity-21,toolkit-1,item-4,2
quantity-22,toolkit-10,item-2,11
quantity-23,toolkit-2,item-7,4
quantity-24,toolkit-1,item-8,18
quantity-25,toolkit-2,item-4,23
